seed,setting,source_modality,target_modality,model,primary_metric_name,primary_metric,Se,Sp,macro_f1,accuracy,n_train,n_test
1,in_domain,heart,heart,cnn,MAcc,0.8441532258064517,0.9,0.7883064516129032,0.7668308080808082,0.8115015974440895,33246,626
1,in_domain,lung,lung,cnn,ICBHI_Score,0.532566008960061,0.7202602230483272,0.34487179487179487,0.30766727670353655,0.37518968133535663,4262,2636
1,transfer,heart,lung,cnn,ICBHI_Score,0.5459775045276904,0.7509293680297398,0.34102564102564104,0.31077053024153894,0.38012139605462825,26804,2636
1,transfer,lung,heart,cnn,MAcc,0.8577078163771712,0.9230769230769231,0.7923387096774194,0.7770957343223663,0.8194888178913738,3273,4167
1,joint,heart+lung,heart,cnn,MAcc,0.8569944168734491,0.8692307692307693,0.844758064516129,0.8026958154506438,0.8498402555910544,26804,4167
1,joint,heart+lung,lung,cnn,ICBHI_Score,0.557662520255457,0.4646840148698885,0.6506410256410257,0.3211859232272253,0.5041729893778453,3273,2636
1,in_domain,heart,heart,effnet_b0,MAcc,0.8779466501240695,0.9615384615384616,0.7943548387096774,0.7903635197095598,0.829073482428115,33246,626
1,in_domain,lung,lung,effnet_b0,ICBHI_Score,0.5522769516728625,0.4795539033457249,0.625,0.32442816674324026,0.48520485584218515,4262,2636
1,transfer,heart,lung,effnet_b0,ICBHI_Score,0.5702447335811648,0.6821561338289963,0.4583333333333333,0.33788135669134267,0.44537177541729894,26804,2636
1,transfer,lung,heart,effnet_b0,MAcc,0.8916873449131513,0.9769230769230769,0.8064516129032258,0.8047121920169404,0.84185303514377,3273,4167
1,joint,heart+lung,heart,effnet_b0,MAcc,0.8646867245657568,0.8846153846153846,0.844758064516129,0.8076804915514593,0.853035143769968,26804,4167
1,joint,heart+lung,lung,effnet_b0,ICBHI_Score,0.5410816414069203,0.3763940520446097,0.7057692307692308,0.3229826866492196,0.5151745068285281,3273,2636
2,in_domain,heart,heart,cnn,MAcc,0.8508374689826302,0.9153846153846154,0.7862903225806451,0.7699938763012859,0.8130990415335463,33246,626
2,in_domain,lung,lung,cnn,ICBHI_Score,0.48532313411495565,0.4591078066914498,0.5115384615384615,0.28784684788514614,0.40819423368740515,4262,2636
2,transfer,heart,lung,cnn,ICBHI_Score,0.5228481555619102,0.5687732342007435,0.47692307692307695,0.3076987169035045,0.4207132018209408,26611,2636
2,transfer,lung,heart,cnn,MAcc,0.8502791563275434,0.9384615384615385,0.7620967741935484,0.7583011583011583,0.7987220447284346,3284,4167
2,joint,heart+lung,heart,cnn,MAcc,0.8418734491315136,0.8692307692307693,0.8145161290322581,0.7778804993570858,0.8258785942492013,26611,4167
2,joint,heart+lung,lung,cnn,ICBHI_Score,0.5377180440377466,0.34851301115241634,0.7269230769230769,0.30302100278297606,0.5242792109256449,3284,2636
2,in_domain,heart,heart,effnet_b0,MAcc,0.885189205955335,0.9538461538461539,0.8165322580645161,0.8059473019829666,0.8450479233226837,33246,626
2,in_domain,lung,lung,effnet_b0,ICBHI_Score,0.5554689734057764,0.6840148698884758,0.4269230769230769,0.2985913554065388,0.3945371775417299,4262,2636
2,transfer,heart,lung,effnet_b0,ICBHI_Score,0.5600610046706701,0.5483271375464684,0.5717948717948718,0.31296450506999335,0.4582701062215478,26611,2636
2,transfer,lung,heart,effnet_b0,MAcc,0.883622828784119,0.9769230769230769,0.7903225806451613,0.7917556606383938,0.829073482428115,3284,4167
2,joint,heart+lung,heart,effnet_b0,MAcc,0.8699131513647642,0.8769230769230769,0.8629032258064516,0.8207037643207855,0.865814696485623,26611,4167
2,joint,heart+lung,lung,effnet_b0,ICBHI_Score,0.5063554475264512,0.3550185873605948,0.6576923076923077,0.30176871213051726,0.49051593323216997,3284,2636
42,in_domain,heart,heart,cnn,MAcc,0.8609181141439206,0.9153846153846154,0.8064516129032258,0.7859418691977054,0.829073482428115,33246,626
42,in_domain,lung,lung,cnn,ICBHI_Score,0.5585895052902488,0.7537174721189591,0.36346153846153845,0.2852194382439154,0.3486342943854325,4262,2636
42,transfer,heart,lung,cnn,ICBHI_Score,0.5237501191497475,0.49814126394052044,0.5493589743589744,0.31225745375133873,0.44385432473444614,26674,2636
42,transfer,lung,heart,cnn,MAcc,0.8543114143920596,0.9384615384615385,0.7701612903225806,0.764484574868322,0.805111821086262,3635,4167
42,joint,heart+lung,heart,cnn,MAcc,0.8443393300248139,0.8923076923076924,0.7963709677419355,0.7707580365245912,0.8162939297124601,26674,4167
42,joint,heart+lung,lung,cnn,ICBHI_Score,0.5650390811171481,0.6403345724907064,0.4897435897435897,0.31508935736261556,0.42298937784522,3635,2636
42,in_domain,heart,heart,effnet_b0,MAcc,0.8980303970223324,0.9230769230769231,0.8729838709677419,0.8445154419595313,0.8833865814696485,33246,626
42,in_domain,lung,lung,effnet_b0,ICBHI_Score,0.5586872080831189,0.4795539033457249,0.6378205128205128,0.32981883900723863,0.5015174506828528,4262,2636
42,transfer,heart,lung,effnet_b0,ICBHI_Score,0.5529441902583166,0.570631970260223,0.5352564102564102,0.3390609584148159,0.47230652503793624,26674,2636
42,transfer,lung,heart,effnet_b0,MAcc,0.8855614143920596,0.9384615384615385,0.8326612903225806,0.8145607838669249,0.854632587859425,3635,4167
42,joint,heart+lung,heart,effnet_b0,MAcc,0.8851116625310174,0.9153846153846154,0.8548387096774194,0.8261407858765739,0.8674121405750799,26674,4167
42,joint,heart+lung,lung,effnet_b0,ICBHI_Score,0.5157003622152321,0.3243494423791822,0.7070512820512821,0.2919125324677477,0.5041729893778453,3635,2636
