setting,source_modality,target_modality,model,primary_metric_name,primary_metric,Se,Sp,macro_f1,accuracy,n_train,n_test
in_domain,heart,heart,cnn,MAcc,0.8609181141439206,0.9153846153846154,0.8064516129032258,0.7859418691977054,0.829073482428115,33246,626
in_domain,lung,lung,cnn,ICBHI_Score,0.5585895052902488,0.7537174721189591,0.36346153846153845,0.2852194382439154,0.3486342943854325,4262,2636
transfer,heart,lung,cnn,ICBHI_Score,0.5237501191497475,0.49814126394052044,0.5493589743589744,0.31225745375133873,0.44385432473444614,26674,2636
transfer,lung,heart,cnn,MAcc,0.8543114143920596,0.9384615384615385,0.7701612903225806,0.764484574868322,0.805111821086262,3635,4167
joint,heart+lung,heart,cnn,MAcc,0.8443393300248139,0.8923076923076924,0.7963709677419355,0.7707580365245912,0.8162939297124601,26674,4167
joint,heart+lung,lung,cnn,ICBHI_Score,0.5650390811171481,0.6403345724907064,0.4897435897435897,0.31508935736261556,0.42298937784522,3635,2636
in_domain,heart,heart,effnet_b0,MAcc,0.8852977667493797,0.9076923076923077,0.8629032258064516,0.8306826787839445,0.8722044728434505,33246,626
in_domain,lung,lung,effnet_b0,ICBHI_Score,0.5778786578972452,0.5929368029739777,0.5628205128205128,0.3318247901213741,0.47382397572078905,4262,2636
transfer,heart,lung,effnet_b0,ICBHI_Score,0.5258435802116099,0.5901486988847584,0.46153846153846156,0.3251769358204521,0.424886191198786,26674,2636
transfer,lung,heart,effnet_b0,MAcc,0.8755583126550868,0.9769230769230769,0.7741935483870968,0.7790545289371353,0.8162939297124601,3635,4167
joint,heart+lung,heart,effnet_b0,MAcc,0.8402605459057072,0.7692307692307693,0.9112903225806451,0.8271311928111893,0.8817891373801917,26674,4167
joint,heart+lung,lung,effnet_b0,ICBHI_Score,0.5669419025831666,0.4563197026022305,0.6775641025641026,0.3433872683012883,0.5276934749620638,3635,2636
